5,3.0,28.01,0.46
5,4.0,29.85,0.43
6,0.0,17.17,0.48
6,1.0,17.44,0.46
6,2.0,25.22,0.42
6,3.0,20.09,0.53
6,4.0,20.44,0.47
7,0.0,19.82,0.49
7,1.0,20.65,0.52
7,2.0,21.99,0.51
7,3.0,17.81,0.6
7,4.0,20.09,0.52
8,0.0,21.55,0.53
8,1.0,20.38,0.55
8,2.0,21.04,0.58
8,3.0,17.14,0.63
8,4.0,2.46,0.56
9,0.0,6.12,0.58
9,1.0,8.53,0.6
9,2.0,11.29,0.63
9,3.0,14.2,0.65
9,4.0,16.97,0.64
10,0.0,12.73,0.61
10,1.0,12.15,0.62
10,2.0,11.04,0.64
10,3.0,7.14,0.74
10,4.0,7.56,0.67
11,0.0,11.55,0.65
11,1.0,8.05,0.64
11,2.0,10.45,0.64
11,3.0,7.58,0.76
11,4.0,9.74,0.69
12,0.0,10.24,0.67
12,1.0,10.55,0.67
12,2.0,10.44,0.66
12,3.0,3.93,0.78
12,4.0,8.96,0.75
1,0.0,76.6,0.09
1,1.0,111.95,0.12
1,2.0,59.36,0.14
1,3.0,55.5,0.11
1,4.0,30.75,0.1
2,0.0,68.48,0.15
2,1.0,66.28,0.23
2,2.0,64.84,0.24
2,3.0,66.85,0.22
2,4.0,67.7,0.21
3,0.0,68.35,0.26
3,1.0,64.87,0.29
3,2.0,64.21,0.33
3,3.0,66.15,0.32
3,4.0,56.17,0.23
4,0.0,66.35,0.37
4,1.0,63.5,0.34
4,2.0,60.24,0.4
4,3.0,60.98,0.4
4,4.0,68.7,0.33
5,0.0,63.87,0.44
5,1.0,66.33,0.43
5,2.0,61.11,0.42
5,3.0,60.55,0.46
5,4.0,67.9,0.44
6,0.0,52.9,0.54
6,1.0,64.54,0.48
6,2.0,56.95,0.46
6,3.0,51.46,0.48
6,4.0,58.7,0.53
7,0.0,52.4,0.58
7,1.0,58.82,0.54
7,2.0,51.3,0.5
7,3.0,53.71,0.55
7,4.0,52.88,0.6
8,0.0,44.79,0.64
8,1.0,55.54,0.6
8,2.0,43.62,0.57
8,3.0,55.01,0.61
8,4.0,37.2,0.62
9,0.0,43.5,0.66
9,1.0,37.99,0.64
9,2.0,51.63,0.61
9,3.0,41.77,0.62
9,4.0,45.52,0.66
10,0.0,41.4,0.67
10,1.0,39.09,0.67
10,2.0,47.55,0.63
10,3.0,46.13,0.63
10,4.0,36.53,0.67
11,0.0,13.47,0.69
11,1.0,35.36,0.68
11,2.0,45.32,0.66
11,3.0,40.53,0.65
11,4.0,39.87,0.68
12,0.0,33.21,0.73
12,1.0,28.13,0.71
12,2.0,30.63,0.71
12,3.0,30.87,0.69
12,4.0,23.97,0.74
1,0.0,15.5,0.04
1,1.0,18.25,0.05
1,2.0,18.0,0.0
1,3.0,11.5,0.02
1,4.0,12.0,0.0
2,0.0,14.72,0.04
2,1.0,14.57,0.09
2,2.0,15.41,0.0
2,3.0,15.14,0.02
2,4.0,15.41,0.0
3,0.0,7.54,0.08
3,1.0,14.09,0.1
3,2.0,15.53,0.0
3,3.0,2.7,0.05
3,4.0,15.53,0.0
4,0.0,10.71,0.11
4,1.0,10.47,0.11
4,2.0,11.59,0.0
4,3.0,2.94,0.13
4,4.0,11.59,0.0
5,0.0,9.06,0.11
5,1.0,9.05,0.11
5,2.0,10.15,0.0
5,3.0,8.88,0.18
5,4.0,10.15,0.0
6,0.0,9.12,0.11
6,1.0,9.17,0.11
6,2.0,10.28,0.0
6,3.0,8.45,0.2
6,4.0,10.28,0.0
7,0.0,9.17,0.11
7,1.0,9.21,0.11
7,2.0,10.33,0.0
7,3.0,8.26,0.22
7,4.0,10.33,0.0
8,0.0,9.21,0.11
8,1.0,9.25,0.11
8,2.0,10.38,0.0
8,3.0,8.07,0.22
8,4.0,10.38,0.0
9,0.0,9.21,0.11
9,1.0,9.25,0.11
9,2.0,10.38,0.0
9,3.0,8.07,0.22
9,4.0,10.38,0.0
10,0.0,9.21,0.11
10,1.0,9.25,0.11
10,2.0,10.38,0.0
10,3.0,8.07,0.22
10,4.0,10.38,0.0
11,0.0,9.21,0.11
11,1.0,9.25,0.11
11,2.0,10.38,0.0
11,3.0,8.07,0.22
11,4.0,10.38,0.0
12,0.0,9.21,0.11
12,1.0,9.25,0.11
12,2.0,10.38,0.0
12,3.0,8.07,0.22
12,4.0,10.38,0.0
