node_id,t,budget,K,ep_utility,ac_utility
4,4,3600,5,52.30714769377326,29
4,5,3600,5,52.273298643481354,31
4,6,3600,5,52.238177542491606,33
4,7,3600,5,52.203943166336614,34
4,8,3600,5,52.17123321122245,35
4,9,3600,5,52.14018788210574,35
4,10,3600,5,52.110770043771794,36
4,11,3600,5,52.082880304130676,36
4,12,3600,5,52.056401805733564,36
4,1,3600,6,60,11
4,2,3600,6,59.703659832915555,21
4,3,3600,6,59.714022854064105,30
4,4,3600,6,60,31
4,5,3600,6,59.6508148141508,36
4,6,3600,6,59.6045509535613,38
4,7,3600,6,60,36
4,8,3600,6,59.531834179785086,40
4,9,3600,6,59.987970275441505,40
4,10,3600,6,59.465430945234054,41
4,11,3600,6,59.429589403035585,41
4,12,3600,6,59.8953914377715,40
4,1,3600,7,60,12
4,2,3600,7,60,21
4,3,3600,7,60,32
4,4,3600,7,60,39
4,5,3600,7,60,40
4,6,3600,7,60,44
4,7,3600,7,60,45
4,8,3600,7,60,45
4,9,3600,7,60,45
4,10,3600,7,60,45
4,11,3600,7,60,45
4,12,3600,7,60,42
4,1,3600,8,60,22
4,2,3600,8,60,35
4,3,3600,8,60,39
4,4,3600,8,60,41
4,5,3600,8,60,42
4,6,3600,8,60,45
4,7,3600,8,60,45
4,8,3600,8,60,45
4,9,3600,8,60,46
4,10,3600,8,60,47
4,11,3600,8,26.84544015206534,14
4,12,3600,8,0,0
4,1,3600,9,60,19
4,2,3600,9,60,34
4,3,3600,9,60,39
4,4,3600,9,60,46
4,5,3600,9,60,48
4,6,3600,9,60,51
4,7,3600,9,60,51
4,8,3600,9,60,51
4,9,3600,9,60,52
4,10,3600,9,30.32738502188589,18
4,11,3600,9,0,0
4,12,3600,9,0,0
4,1,3600,10,60,23
4,2,3600,10,60,36
4,3,3600,10,60,47
4,4,3600,10,60,50
4,5,3600,10,60,51
4,6,3600,10,60,42
4,7,3600,10,35.65462877755775,23
4,8,3600,10,0,0
4,9,3600,10,0,0
4,10,3600,10,0,0
4,11,3600,10,0,0
4,12,3600,10,0,0
4,1,3600,11,60,27
4,2,3600,11,60,38
4,3,3600,11,60,44
4,4,3600,11,60,48
4,5,3600,11,60,50
4,6,3600,11,60,51
4,7,3600,11,60,51
4,8,3600,11,27.88561660561122,18
4,9,3600,11,0,0
4,10,3600,11,0,0
4,11,3600,11,0,0
4,12,3600,11,0,0
4,1,3600,12,60,25
4,2,3600,12,60,42
4,3,3600,12,60,48
4,4,3600,12,60,50
4,5,3600,12,60,53
4,6,3600,12,60,56
4,7,3600,12,60,39
4,8,3600,12,9.883205535203743,6
4,9,3600,12,0,0
4,10,3600,12,0,0
4,11,3600,12,0,0
4,12,3600,12,0,0
4,1,3600,13,60,25
4,2,3600,13,60,36
4,3,3600,13,60,45
4,4,3600,13,60,50
4,5,3600,13,60,54
4,6,3600,13,60,57
4,7,3600,13,60,53
4,8,3600,13,0,0
4,9,3600,13,0,0
4,10,3600,13,0,0
4,11,3600,13,0,0
4,12,3600,13,0,0
4,1,3600,14,60,35
4,2,3600,14,60,46
4,3,3600,14,60,53
4,4,3600,14,60,55
4,5,3600,14,60,56
4,6,3600,14,60,55
4,7,3600,14,0,0
4,8,3600,14,0,0
4,9,3600,14,0,0
4,10,3600,14,0,0
4,11,3600,14,0,0
4,12,3600,14,0,0
4,1,3600,15,60,27
4,2,3600,15,60,40
4,3,3600,15,60,51
4,4,3600,15,60,56
4,5,3600,15,60,57
4,6,3600,15,60,46
4,7,3600,15,10.344657194389434,6
4,8,3600,15,0,0
4,9,3600,15,0,0
4,10,3600,15,0,0
4,11,3600,15,0,0
4,12,3600,15,0,0
4,1,4200,5,52.12800000000001,11
4,2,4200,5,54.71780188395335,14
4,3,4200,5,54.736040515568156,20
4,4,4200,5,54.71780188395335,26
4,5,4200,5,54.685678267211905,28
4,6,4200,5,54.65126548364372,30
4,7,4200,5,54.62139363687202,31
4,8,4200,5,54.5865617641394,33
4,9,4200,5,54.56127904814428,32
4,10,4200,5,53.66183349649291,31
4,11,4200,5,54.50754165500786,34
4,12,4200,5,54.48727110182325,34
4,1,4200,6,60,18
4,2,4200,6,60,23
4,3,4200,6,60,32
4,4,4200,6,60,37
4,5,4200,6,60,36
4,6,4200,6,60,38
4,7,4200,6,60,41
4,8,4200,6,60,41
4,9,4200,6,60,41
4,10,4200,6,60,42
4,11,4200,6,60,42
4,12,4200,6,60,42
4,1,4200,7,60,19
4,2,4200,7,60,24
4,3,4200,7,60,30
4,4,4200,7,60,34
4,5,4200,7,60,36
4,6,4200,7,60,39
4,7,4200,7,60,40
4,8,4200,7,60,41
4,9,4200,7,60,41
4,10,4200,7,60,41
4,11,4200,7,60,43
4,12,4200,7,60,43
4,1,4200,8,60,18
4,2,4200,8,60,23
4,3,4200,8,60,29
4,4,4200,8,60,37
4,5,4200,8,60,40
4,6,4200,8,60,40
4,7,4200,8,60,42
4,8,4200,8,60,43
4,9,4200,8,60,44
4,10,4200,8,60,44
4,11,4200,8,60,44
4,12,4200,8,60,46
4,1,4200,9,60,22
4,2,4200,9,60,36
4,3,4200,9,60,41
4,4,4200,9,60,45
4,5,4200,9,60,48
4,6,4200,9,60,46
4,7,4200,9,60,49
4,8,4200,9,60,49
4,9,4200,9,60,50
4,10,4200,9,18.63025668125726,11
4,11,4200,9,0,0
4,12,4200,9,0,0
4,1,4200,10,60,28
4,2,4200,10,60,37
4,3,4200,10,60,45
